+------+--------------------------+--------------------------+----------+
| Game |         Player 1         |         Player 2         |  Winner  |
| 494  |  [[AC, AS], KH, 9D, 3H]  |  [[6C, 6S], KC, QD, 9H]  | Player 1 |
| 495  |  [[7S, 7D], 9H, 5C, 3D]  |   [KC, TD, 8H, 6S, 4H]   | Player 1 |
| 496  |   [QD, TC, 8H, 7H, 3C]   |  [[6S, 6C], QH, 7S, 4D]  | Player 2 |
| 497  |  [[6D, 6C], AD, QD, 4C]  |   [KS, TS, 9D, 7D, 5D]   | Player 1 |
| 498  |  [[JH, JD], 9S, 7S, 2H]  |  [[8D, 8H], KH, TS, 5D]  | Player 1 |
| 499  |  [[9S, 9D], 7D, 4C, 2D]  |  [[6D, 6S], AC, QD, 5H]  | Player 1 |
| 500  |  [[JC, JH], QD, 7S, 6D]  |   [QS, 7D, 6S, 4C, 2H]   | Player 1 |
| 501  |   [KD, JH, TD, 8C, 2H]   |   [QS, JS, 7S, 5C, 2C]   | Player 1 |
| 502  |   [QD, JH, TC, 5H, 4H]   |  [[5S, 5D], KH, 8S, 3S]  | Player 2 |
| 503  |  [[KS, KH], 7C, 5D, 2C]  | [[JH, JC], [6S, 6D], 9C] | Player 2 |
| 504  |  [[JD, JS], AH, 9C, 5H]  |   [KC, 6H, 5S, 4D, 2H]   | Player 1 |
| 505  |   [AS, QC, TH, 6H, 3C]   |  [[8S, 8C], TD, 9C, 7C]  | Player 2 |
| 506  |  [[KC, KH], QD, 9C, 2C]  |   [TS, 9H, 7S, 4D, 3C]   | Player 1 |
| 507  |   [QC, TS, 9C, 8C, 2S]   |  [[3S, 3C], QD, TD, 9S]  | Player 2 |
| 508  |   [AH, JH, TH, 9D, 4D]   |  [[JD, JS], QH, 6S, 2S]  | Player 2 |
| 509  |   [KD, QD, 9H, 7D, 6C]   |   [AH, 8H, 7H, 6S, 5D]   | Player 2 |
| 510  |   [8H, 5H, 4S, 3C, 2H]   |  [[QS, QH], AC, 7S, 4H]  | Player 2 |
| 511  |   [QS, 9S, 7S, 4H, 3C]   |   [AH, KS, 9D, 7C, 3S]   | Player 2 |
| 512  |  [[2H, 2D], AD, 6S, 5S]  |   [TC, 8C, 5H, 4S, 3C]   | Player 1 |
| 513  |   [QH, JS, TS, 6S, 4D]   |   [AS, KS, JH, 8S, 6D]   | Player 2 |
| 514  |  [[2C, 2S], TD, 8S, 5H]  |  [[TC, TS], AS, KC, 6C]  | Player 2 |
| 515  |   [KC, TS, 8H, 3H, 2H]   |  [[TH, TD], 7C, 5S, 4C]  | Player 2 |
| 516  | [[KD, KH], [7H, 7S], AD] |  [[5D, 5H, 5S], 9C, 2D]  | Player 2 |
| 517  |   [AD, 9S, 8C, 7S, 3D]   |  [[KD, KS], QC, 9C, 7C]  | Player 2 |
| 518  |   [QC, 9S, 8C, 4D, 3C]   |   [AS, QD, 6C, 5C, 2C]   | Player 2 |
| 519  |   [KC, JD, 8S, 7S, 2H]   |   [AC, 8D, 5C, 4D, 2S]   | Player 2 |
| 520  |   [QH, TC, 9D, 3D, 2S]   |  [[3S, 3C], KS, TD, 9H]  | Player 2 |
| 521  |   [AC, KD, 7H, 6S, 2C]   |  [[6C, 6H], 8C, 5H, 3S]  | Player 2 |
| 522  |   [KH, QH, TC, 8S, 6S]   | [[TH, TS], [4H, 4D], 5D] | Player 2 |
| 523  |   [JS, 8C, 6H, 4H, 2C]   |   [AC, QD, 7D, 3D, 2H]   | Player 2 |
| 524  |   [KC, QS, 6S, 5S, 2D]   |  [[4H, 4C], JH, TD, 3H]  | Player 2 |
| 525  |  [[7S, 7H], KH, 8H, 5H]  |   [KD, QS, TH, 7D, 6H]   | Player 1 |
| 526  |  [[KD, KH], AD, 7C, 5H]  |  [[6D, 6C], TD, 5S, 3C]  | Player 1 |
| 527  |   [JD, 9C, 8C, 7C, 5H]   |  [[KC, KH], 7H, 3S, 2H]  | Player 2 |
| 528  |  [[4H, 4D], AD, 8S, 7S]  |   [QS, TH, 7H, 5S, 3D]   | Player 1 |
| 529  |  [[KS, KD], TC, 9S, 8D]  |   [AD, JD, 6D, 5C, 2S]   | Player 1 |
| 530  |   [QD, 8H, 7H, 6C, 2H]   |  [[9D, 9S], TC, 7C, 6H]  | Player 2 |
| 531  |  [[6D, 6C], 8D, 7C, 4C]  |  [[JS, JH], KH, TH, 3C]  | Player 2 |
| 532  |   [JS, 9H, 8S, 5S, 3S]   |  [[AS, AD], KD, 8H, 7S]  | Player 2 |
| 533  |   [KC, JH, 7C, 5H, 2C]   | [[AS, AD], [9C, 9S], JS] | Player 2 |
| 534  |  [[AD, AC], QD, 6S, 2C]  |  [[KS, KD], TH, 7C, 3H]  | Player 1 |
| 535  |  [[4H, 4C], JD, 9D, 8H]  |  [[KH, KC], TS, 8C, 7S]  | Player 2 |
| 536  |   [7S, 6H, 5S, 3S, 2H]   |   [AD, KS, 7D, 6D, 5C]   | Player 2 |
| 537  |   [QS, 9H, 8C, 7H, 5S]   |  [[7S, 7D], TD, 6C, 2H]  | Player 2 |
| 538  |   [AC, QS, TD, 9D, 5S]   |   [KC, TC, 4D, 3D, 2D]   | Player 1 |
| 539  |   [QD, JD, TD, 7D, 2H]   |   [KC, 7H, 5D, 4C, 3D]   | Player 2 |
| 540  |   [KD, QH, 8S, 4C, 3H]   |  [[5S, 5H], QC, TC, 9H]  | Player 2 |
| 541  |  [[TH, TS], QD, 9C, 5H]  |   [AH, QH, 9H, 5C, 2C]   | Player 1 |
| 542  |  [[6S, 6C], AC, 4D, 3C]  | [[TD, TH], [2C, 2H], 3D] | Player 2 |
| 543  |   [AC, QC, 9C, 5D, 4D]   |  [[8D, 8C], AD, KC, 6D]  | Player 2 |
| 544  |  [[AD, AC], 8D, 4H, 3C]  |   [JC, TD, 9S, 8H, 7S]   | Player 2 |
| 545  |   [QH, JS, 9H, 4H, 2D]   | [[TH, TD, TC], [KD, KS]] | Player 2 |
| 546  |   [TH, 9S, 8D, 6S, 5S]   |  [[5H, 5C], AS, KH, 8S]  | Player 2 |
| 547  |   [JD, 9S, 6S, 5S, 2S]   |  [[7S, 7H], 9D, 8S, 5D]  | Player 2 |
| 548  |   [AD, 9D, 8C, 5D, 4C]   |  [[TS, TC], KD, 7D, 2C]  | Player 2 |
| 549  |   [KC, QS, 8S, 5C, 4D]   |  [[KH, KD], JD, 8D, 4S]  | Player 2 |
| 550  |  [[AS, AD], QH, 7D, 5C]  |  [[7H, 7C], TC, 9S, 2H]  | Player 1 |
| 551  |   [KH, JD, 8S, 7S, 2S]   |  [[6C, 6D], AD, QC, 5D]  | Player 2 |
| 552  |  [[8C, 8H], 9H, 6H, 3S]  |  [[TC, TD], AH, JS, 4H]  | Player 2 |
| 553  |  [[2C, 2D], TS, 7H, 4D]  |   [QC, TH, 9C, 7C, 5D]   | Player 1 |
| 554  |   [QC, TS, 8H, 6C, 5D]   |  [[5C, 5H], JH, 9H, 4S]  | Player 2 |
| 555  |   [AS, QC, JS, 7H, 2D]   | [[8S, 8D], [4C, 4H], 2H] | Player 2 |
| 556  |   [AC, KD, JS, 6S, 3D]   |   [KC, TH, 7H, 4S, 3C]   | Player 1 |
| 557  |  [[QH, QS], KH, 6S, 5S]  |  [[3C, 3S, 3H], QD, 4H]  | Player 2 |
| 558  |   [AS, KH, 8C, 7H, 4H]   |   [TS, 9C, 6S, 5S, 3D]   | Player 1 |
| 559  |   [QD, 9C, 7C, 5S, 3H]   |  [[AD, AC], 5H, 3D, 2C]  | Player 2 |
| 560  |  [[TD, TS], JH, 4C, 2D]  |  [[3H, 3S], AD, KH, 7S]  | Player 1 |
| 561  |  [[4C, 4D], AS, 6S, 5H]  |   [KD, JC, 6H, 3C, 2D]   | Player 1 |
| 562  |   [TH, 8C, 6S, 3H, 2D]   |  [[AH, AD], QH, 5H, 4S]  | Player 2 |
| 563  |  [[7C, 7H], KC, 9H, 2S]  |  [[5C, 5S], JC, 6D, 3H]  | Player 1 |
| 564  |   [QD, TC, 9C, 4H, 3C]   |   [JH, TD, 9H, 6D, 5S]   | Player 1 |
| 565  | [[6S, 6C], [5C, 5D], 7C] |   [AH, 9H, 7H, 6H, 4S]   | Player 1 |
| 566  |  [[2H, 2C], AD, KC, 7D]  |   [9S, 7H, 4C, 3S, 2S]   | Player 1 |
| 567  |   [TH, 8S, 6S, 4C, 3S]   |  [[AD, AS], KS, JH, TD]  | Player 2 |
| 568  |  [[4S, 4D], AD, TD, 5C]  |   [TC, 9C, 7D, 6S, 5D]   | Player 1 |
| 569  |  [[4D, 4S], 8H, 5S, 3S]  |  [[3H, 3D], AC, 6H, 5C]  | Player 1 |
| 570  |   [AC, QS, 9H, 4S, 3C]   |   [QH, 9D, 8S, 5H, 4D]   | Player 1 |
| 571  |   [AC, JC, TS, 6C, 5H]   |   [QD, JD, 9C, 8C, 7C]   | Player 1 |
| 572  |  [[8S, 8H], JD, 9C, 2D]  |  [[QC, QH], 8D, 6H, 3C]  | Player 2 |
| 573  |   [KS, JS, 6H, 5H, 2H]   |  [[QH, QS], 7C, 6D, 3H]  | Player 2 |
| 574  |   [QC, TC, 7H, 4S, 3H]   |   [KH, JS, 8C, 3S, 2H]   | Player 2 |
| 575  |   [AH, 9H, 8H, 5S, 4C]   |  [[JD, JC], AC, 7S, 3H]  | Player 2 |
| 576  |   [6C, 5S, 4C, 3C, 2D]   |  [[3S, 3D], QS, JD, 4S]  | Player 1 |
| 577  |   [AH, KS, TC, 5H, 2D]   |  [[6D, 6H], AD, 8C, 7H]  | Player 2 |
| 578  |  [[7S, 7C], JD, 6C, 3C]  |  [[KS, KH], AH, 8H, 6D]  | Player 2 |
| 579  |  [[8H, 8S], AH, 7D, 3H]  |   [QS, 9D, 7H, 5H, 2D]   | Player 1 |
| 580  |   [AC, JD, 8S, 7S, 4H]   |  [[9S, 9D], AS, KS, QH]  | Player 2 |
| 581  |   [JH, 8S, 7S, 5S, 2C]   |   [AH, KD, QS, JC, 4C]   | Player 2 |
| 582  |   [AH, 9H, 8D, 4H, 2S]   |  [[TS, TD], QH, JD, 6H]  | Player 2 |
| 583  |   [QS, JC, 6D, 4H, 3H]   | [[9C, 9D], [8S, 8D], 7S] | Player 2 |
| 584  |  [[4S, 4C], TD, 9S, 5H]  | [[8C, 8D], [3H, 3D], 7H] | Player 2 |
| 585  |  [[2C, 2S], KH, QS, 3S]  |   [QD, TD, 7S, 4S, 3C]   | Player 1 |
| 586  |   [KH, TD, 7C, 5S, 4D]   |  [[AC, AS], 7H, 6C, 4C]  | Player 2 |
| 587  |   [JD, 9H, 6D, 5H, 2S]   |  [[2C, 2H], QS, TD, 8S]  | Player 2 |
| 588  |   [TS, 9H, 7S, 6H, 2S]   | [[5D, 5S], [4H, 4C], JC] | Player 2 |
| 589  |   [7D, 5H, 4H, 3S, 2C]   |  [[JC, JS], QH, 8H, 6D]  | Player 2 |
| 590  |  [[QH, QD], 7C, 4C, 3S]  |  [[TH, TS], AD, 8S, 5S]  | Player 1 |
| 591  |  [[TC, TD], JC, 9H, 2S]  |  [[3S, 3D], QH, TH, 7D]  | Player 1 |
| 592  |   [JH, 8S, 7D, 5C, 4C]   |  [[3S, 3H], KC, 8H, 6S]  | Player 2 |
| 593  |   [KH, QH, JC, TC, 3H]   |   [AC, TH, 6H, 5H, 2C]   | Player 2 |
| 594  |  [[2H, 2C], AS, QS, 9D]  | [[8C, 8S], [6S, 6C], 2S] | Player 2 |
| 595  |   [QC, TH, 9H, 7D, 4H]   |   [AC, KD, QS, 7S, 3C]   | Player 2 |
| 596  |   [JH, 8H, 6S, 5S, 4D]   |   [AS, KS, QC, 9S, 3S]   | Player 2 |
| 597  |   [JD, TC, 7S, 6S, 2D]   |  [[KC, KD], 9H, 7D, 3H]  | Player 2 |
| 598  |  [[4D, 4S], KH, 7C, 2H]  |   [KC, QD, JS, 7D, 3H]   | Player 1 |
| 599  |   [AS, JC, 9D, 4C, 3C]   |   [QD, JS, 8H, 6C, 4D]   | Player 1 |
| 600  |   [AH, JS, 6C, 4C, 3S]   |  [[9C, 9H], JH, 6D, 3D]  | Player 2 |
| 601  |   [9H, 8C, 7H, 5S, 2D]   |   [KS, TC, 9C, 6H, 2S]   | Player 2 |
| 602  |  [[6C, 6H], AD, 8C, 7H]  |   [AS, KH, TH, 5D, 3D]   | Player 1 |
| 603  |  [[8C, 8S], KS, TS, 3S]  |  [[4D, 4H], 9S, 6C, 5S]  | Player 1 |
| 604  |  [[4S, 4H], 9H, 7D, 5C]  |  [[2D, 2H], KC, JH, 9D]  | Player 1 |
| 605  |  [[9D, 9H], JS, TC, 5C]  |   [KH, JC, 7S, 6S, 5H]   | Player 1 |
| 606  |   [JC, 9H, 8H, 7C, 4D]   |  [[TD, TC], KH, JD, 2H]  | Player 2 |
| 607  |  [[2H, 2C], KH, 8H, 6C]  |  [[QS, QH], 9D, 6H, 5H]  | Player 2 |
| 608  |   [AC, QD, 7D, 3D, 2S]   |  [[JC, JD, JH], 8D, 2D]  | Player 2 |
| 609  |  [[2H, 2D, 2C], JC, 7H]  |   [KD, TD, 8D, 4H, 3C]   | Player 1 |
| 610  |   [TS, 8D, 6D, 4H, 3S]   | [[TD, TH], [3H, 3D], 6H] | Player 2 |
| 611  |  [[JH, JC], AC, QH, 3S]  |   [QC, 9H, 8S, 7H, 2C]   | Player 1 |
| 612  |   [QS, TD, 8S, 7H, 4S]   |  [[2S, 2H], 9C, 5D, 4D]  | Player 2 |
| 613  |  [[3D, 3H], QC, TS, 2S]  |  [[KC, KS], JC, 8H, 6H]  | Player 2 |
| 614  |   [JD, TC, 8C, 7D, 5D]   |   [AC, 9S, 8D, 6C, 3D]   | Player 2 |
| 615  |  [[6H, 6C], JH, 8H, 5D]  |  [[8D, 8S], AD, 4H, 2C]  | Player 2 |
| 616  |  [[2D, 2C], 9D, 4H, 3S]  |  [[TS, TC], AS, 5D, 3C]  | Player 2 |
| 617  |   [KS, QS, TH, 5H, 4D]   |   [AD, 6C, 4S, 3D, 2H]   | Player 2 |
| 618  |  [[5C, 5S], KC, 6H, 2C]  |  [[9H, 9S], 4D, 3C, 2D]  | Player 2 |
| 619  |   [QH, JD, TH, 4C, 3H]   |  [[AH, AC], 9H, 8S, 5S]  | Player 2 |
| 620  |   [TD, 9S, 7D, 6S, 2H]   |  [[4H, 4C], QS, 9C, 8H]  | Player 2 |
| 621  |   [8C, 6H, 5D, 4H, 3C]   |  [[QD, QS], KC, 9C, 6S]  | Player 2 |
| 622  |   [KD, TC, 9H, 3S, 2D]   |  [[4H, 4S], JS, 8C, 6S]  | Player 2 |
| 623  |   [QS, 8S, 6H, 4C, 2S]   |   [KH, TH, 8C, 5D, 3H]   | Player 2 |
| 624  |   [KH, 7S, 5S, 3S, 2C]   |   [QD, 9D, 8D, 7H, 6C]   | Player 1 |
| 625  |  [[KS, KH], AC, 8H, 2D]  |   [KC, JS, TS, 7H, 6C]   | Player 1 |
| 626  |   [KS, QC, TD, 9C, 5C]   |   [AH, 9S, 7C, 6C, 5H]   | Player 2 |
| 627  |  [[4D, 4H], 6S, 5D, 3H]  |  [[7C, 7S], AH, QD, TD]  | Player 2 |
| 628  |   [QC, TC, 7D, 6S, 2H]   |   [AH, TS, 9D, 7S, 3H]   | Player 2 |
| 629  |   [KS, QD, TH, 9S, 5H]   |  [[7S, 7C], TD, 8C, 6H]  | Player 2 |
| 630  |   [QC, TH, 5C, 4D, 2D]   |   [AH, JD, 9C, 7D, 4H]   | Player 2 |
| 631  |   [AH, 8D, 6H, 4H, 3H]   | [[QC, QH], [2H, 2C], 9H] | Player 2 |
| 632  |   [AD, TS, 6H, 4C, 2D]   |  [[TH, TD], QS, 7S, 4H]  | Player 2 |
| 633  |  [[3C, 3H], KD, QS, 2H]  |   [QC, JD, TC, 8H, 5D]   | Player 1 |
| 634  |   [KS, QD, JC, TH, 9S]   |  [[8D, 8C], KD, 9C, 2D]  | Player 1 |
| 635  |   [KD, QD, 6D, 4D, 3C]   | [[AH, AD], [8D, 8S], QC] | Player 2 |
| 636  |  [[3S, 3H], 9D, 8H, 2S]  |  [[KS, KC], 7C, 6H, 4C]  | Player 2 |
| 637  |   [TH, 9S, 7D, 5C, 3D]   |   [AC, 7S, 6H, 4D, 2C]   | Player 2 |
| 638  |   [JD, 5C, 4D, 3D, 2D]   |   [KH, 9H, 6D, 5H, 4C]   | Player 2 |
| 639  |   [AS, TD, 7H, 6C, 2H]   |  [[4C, 4S], KS, QD, 3D]  | Player 2 |
| 640  |  [[JC, JD], AC, 7C, 3C]  |   [QC, JS, 9S, 8H, 5D]   | Player 1 |
| 641  |   [AS, JD, 6S, 5S, 2H]   |   [JH, 8C, 7D, 5H, 3D]   | Player 1 |
| 642  |  [[8D, 8S], TC, 9S, 5S]  |   [AS, JC, 7S, 5H, 3H]   | Player 1 |
| 643  |   [TD, 7D, 5C, 4H, 3D]   |   [JS, 8D, 7H, 5D, 4D]   | Player 2 |
| 644  |   [KS, QS, TD, 9C, 2S]   |   [AS, 8S, 5C, 4H, 2H]   | Player 2 |
| 645  |  [[7S, 7D], TH, 4H, 3H]  |  [[KD, KC], JD, 5D, 2S]  | Player 2 |
| 646  |  [[4S, 4C], JD, 8H, 7H]  |   [QH, JS, 6H, 5S, 4H]   | Player 1 |
| 647  |   [QS, 8C, 5S, 3H, 2C]   |  [[QC, QD], AD, 6C, 2S]  | Player 2 |
| 648  |   [JD, TC, 8C, 4H, 3D]   | [[AD, AC], [2H, 2S], 5S] | Player 2 |
| 649  |  [[2C, 2D], AD, JS, 5D]  |  [[4C, 4S], JH, 9D, 3D]  | Player 2 |
| 650  |  [[5H, 5D], 8D, 7S, 6H]  |   [KS, JD, TD, 9D, 4D]   | Player 1 |
| 651  |   [AS, 9C, 6D, 3D, 2S]   |  [[5S, 5C], JD, 8H, 7D]  | Player 2 |
| 652  |   [8S, 7C, 6S, 5H, 3S]   |  [[7H, 7S], AD, JD, TC]  | Player 2 |
| 653  |   [AC, TS, 9D, 4D, 2S]   |   [QD, JD, 8D, 6C, 3H]   | Player 1 |
| 654  |   [AC, KH, 9S, 3C, 2C]   |  [[5H, 5D], 8D, 6H, 3D]  | Player 2 |
| 655  |   [AS, KS, 6S, 3D, 2D]   |  [[7C, 7H], KH, 4C, 2S]  | Player 2 |
| 656  |   [AC, JC, 5C, 3S, 2H]   |   [QH, 7S, 5H, 4D, 2D]   | Player 1 |
| 657  |   [AS, JD, TS, 8C, 6H]   |  [[5S, 5D], JC, 8S, 2C]  | Player 2 |
| 658  | [[QH, QC], [7S, 7H], 6C] |  [[2D, 2S], JD, 8H, 7C]  | Player 1 |
| 659  |  [[2C, 2S, 2H], QD, JC]  |  [[JD, JH], 9C, 5D, 2D]  | Player 1 |
| 660  |  [[7C, 7D], 9C, 8S, 5C]  |  [[6D, 6C], JH, 9S, 8D]  | Player 1 |
| 661  |   [AD, 6S, 5H, 3S, 2C]   |  [[KS, KH], 9D, 7S, 4C]  | Player 2 |
| 662  |   [TH, 7H, 6C, 5C, 2C]   |   [AH, QC, 9D, 8D, 3S]   | Player 2 |
| 663  |  [[5S, 5H], KC, TC, 6H]  |   [AH, TH, 8S, 6D, 3C]   | Player 1 |
| 664  |   [AD, KD, TD, 9C, 4H]   |   [9S, 7D, 6H, 5D, 4S]   | Player 1 |
| 665  |  [[5C, 5H], AS, 7H, 6D]  | [[KD, KH], [4C, 4H], 9D] | Player 2 |
| 666  |   [JD, 6C, 5C, 3C, 2S]   |   [QS, 9D, 7D, 3H, 2H]   | Player 2 |
| 667  |   [AC, JS, 7S, 6S, 2S]   |  [[QD, QS], AD, 6H, 5C]  | Player 2 |
| 668  |  [[TH, TC], QC, 7H, 5H]  |  [[3S, 3D], KC, 7C, 6D]  | Player 1 |
| 669  |   [QC, 9S, 8H, 4H, 3D]   |   [KS, JC, 5C, 3S, 2C]   | Player 2 |
| 670  |  [[6S, 6H], 8S, 4S, 2C]  |  [[3S, 3D, 3H], JS, 9H]  | Player 2 |
| 671  | [[8C, 8H], [4S, 4D], 2D] |  [[9H, 9D], AH, TS, 7D]  | Player 1 |
| 672  |  [[9S, 9H], 8D, 4C, 2C]  |   [AS, 7D, 6D, 5S, 3D]   | Player 1 |
| 673  |   [8C, 7H, 6S, 4C, 3H]   |  [[9D, 9C], AH, JC, 5H]  | Player 2 |
| 674  |   [JD, 8C, 7C, 5S, 2S]   |  [[3S, 3D], 7D, 6S, 4D]  | Player 2 |
| 675  |   [KC, 7D, 5D, 4S, 3C]   |  [[3D, 3H], JD, 7H, 4H]  | Player 2 |
| 676  | [[9C, 9H], [4H, 4D], TH] |   [QD, 9S, 8S, 7S, 6D]   | Player 1 |
| 677  |  [[AC, AD], 8S, 4S, 2H]  |   [AH, TC, 8C, 7D, 2C]   | Player 1 |
| 678  |   [AD, KS, TS, 9H, 3C]   |  [[8C, 8H], JD, TC, 3D]  | Player 2 |
| 679  |   [QC, 8D, 7D, 3C, 2C]   |  [[9H, 9C], JD, 7C, 6C]  | Player 2 |
| 680  |  [[JS, JH], AH, 6S, 5D]  |   [AS, QC, JD, TD, 2C]   | Player 1 |
| 681  |  [[2H, 2D], KD, 9H, 5D]  |  [[TC, TS], AH, 7D, 3S]  | Player 2 |
| 682  |  [[AS, AH], TD, 8H, 5D]  |   [AC, QC, TC, 6S, 5H]   | Player 1 |
| 683  |  [[4S, 4D], KS, 8D, 7H]  |   [TC, 9C, 6H, 3H, 2H]   | Player 1 |
| 684  |  [[QD, QH], KD, 4S, 3H]  |  [[8H, 8C], TD, 7S, 3D]  | Player 1 |
| 685  |  [[JD, JS], AH, TC, 8S]  |  [[KH, KS], QS, 4D, 2D]  | Player 2 |
| 686  |  [[JC, JS], AD, KD, 3C]  |   [KH, TH, 9H, 4S, 2C]   | Player 1 |
| 687  |   [KS, QC, JS, 9S, 5S]   |   [AS, QD, JD, 7C, 2S]   | Player 2 |
| 688  |   [KC, QS, 5S, 3S, 2D]   |   [AC, KS, 9H, 8H, 5D]   | Player 2 |
| 689  |   [AD, TC, 9C, 6H, 2C]   |  [[6D, 6C], JD, 7C, 5S]  | Player 2 |
| 690  |  [[QS, QD], KH, TD, 2C]  |   [AH, QC, 8S, 3H, 2S]   | Player 1 |
| 691  |  [[9D, 9H], QH, JH, TC]  |   [JS, 7H, 5C, 3C, 2S]   | Player 1 |
| 692  |  [[3S, 3D], 6C, 4S, 2S]  |  [[2D, 2C], QD, TH, 5D]  | Player 1 |
| 693  | [[6H, 6D], [2D, 2S], JC] |   [AS, KH, QH, 7H, 4H]   | Player 1 |
| 694  |   [AD, KS, TC, 6S, 5H]   |  [[4S, 4H], AC, TS, 7C]  | Player 2 |
| 695  |   [AD, QS, 8C, 4H, 3C]   |  [[2H, 2D], KS, 9D, 4D]  | Player 2 |
| 696  | [[9D, 9C], [6C, 6D], 4S] |   [AC, KD, 8D, 7H, 3H]   | Player 1 |
| 697  |  [[JC, JD], AH, TS, 6C]  |   [AD, QD, 6D, 5D, 3S]   | Player 1 |
| 698  |  [[JC, JH, JD], 7S, 3S]  |   [QC, JS, 8S, 4S, 3H]   | Player 1 |
| 699  |   [AD, JD, TH, 5C, 2C]   |  [[7H, 7S], JS, 9S, 2H]  | Player 2 |
| 700  |   [QC, JH, 8D, 4D, 3S]   |   [AS, KC, JD, 6H, 2C]   | Player 2 |
| 701  |  [[5H, 5S], AC, KD, 2C]  |   [AH, QD, JH, 7H, 2D]   | Player 1 |
| 702  |  [[8D, 8S], QH, JC, TC]  |  [[5H, 5C], AH, 8C, 6C]  | Player 1 |
| 703  |  [[JS, JH], QD, 8S, 3H]  |  [[3C, 3S], 6D, 5C, 4H]  | Player 1 |
| 704  |  [[4S, 4C], AH, 6D, 5H]  |   [JD, 8D, 7C, 5S, 3H]   | Player 1 |
| 705  |   [AH, JS, 8H, 3H, 2H]   |   [KD, QC, 7D, 4H, 3C]   | Player 1 |
| 706  |   [KD, 8H, 6S, 5H, 2H]   |   [QD, 8S, 7S, 3C, 2D]   | Player 1 |
| 707  |   [AH, KC, QC, 7S, 2S]   |   [QS, TC, 8D, 6D, 4C]   | Player 1 |
| 708  |   [QD, 9H, 5S, 3S, 2C]   |  [[7S, 7C], 9D, 6C, 2H]  | Player 2 |
| 709  |  [[5C, 5S], JD, 6C, 3C]  |   [KS, JC, TS, 5D, 3S]   | Player 1 |
| 710  |   [KS, 7C, 6S, 5S, 2S]   |  [[2D, 2H], QS, TC, 5H]  | Player 2 |
| 711  |   [AS, TS, 7H, 6S, 5H]   |  [[9S, 9D], KD, 3C, 2H]  | Player 2 |
| 712  |  [[4S, 4H], QS, JS, 3S]  |   [AC, 9D, 7C, 6S, 2S]   | Player 1 |
| 713  |   [JH, 8C, 7C, 5H, 2H]   |  [[QH, QS, QC], KH, 5D]  | Player 2 |
| 714  |  [[3S, 3H], KC, TD, 7C]  |  [[8D, 8S, 8C], KH, 5H]  | Player 2 |
| 715  |   [KH, JD, TS, 4H, 3C]   |   [AS, QC, JS, 7H, 5S]   | Player 2 |
| 716  |   [AH, 9D, 8D, 4D, 2C]   |  [[6H, 6C, 6S], KC, 2D]  | Player 2 |
| 717  |   [9D, 7H, 6H, 3S, 2S]   |  [[KH, KD], 8H, 4D, 3D]  | Player 2 |
| 718  |   [AC, KH, JH, TC, 9C]   |   [JD, TD, 5H, 4D, 3S]   | Player 1 |
| 719  |  [[4H, 4C], AS, 9D, 7S]  |   [KH, QS, 9S, 7D, 2S]   | Player 1 |
| 720  |  [[8D, 8S, 8C], KS, 3S]  |  [[5C, 5D], KH, JC, 2H]  | Player 1 |
| 721  |   [KC, QH, 8S, 4D, 2C]   |   [AC, QC, JS, 9D, 6H]   | Player 2 |
| 722  | [[JS, JD], [8S, 8C], 7C] |  [[4C, 4S], AC, 9C, 6S]  | Player 1 |
| 723  |   [QH, JC, 7D, 5D, 2C]   |  [[JS, JH], 8S, 4C, 2D]  | Player 2 |
| 724  |  [[JS, JH], TS, 7S, 4C]  |  [[KC, KH], QD, 5H, 4S]  | Player 2 |
| 725  |  [[8C, 8D], QD, 6S, 2D]  |   [AC, QH, TD, 9D, 5S]   | Player 1 |
| 726  | [[QH, QC], [3D, 3C], JS] |   [KH, 8S, 7H, 5C, 4H]   | Player 1 |
| 727  |   [JC, 8S, 7C, 5S, 2C]   |   [KC, QC, 5D, 3H, 2H]   | Player 2 |
| 728  |   [KD, 8D, 6H, 5S, 4H]   |  [[QD, QH], AH, 6D, 3D]  | Player 2 |
| 729  |   [KS, 7S, 6C, 4D, 2S]   |   [AC, QS, JD, TS, 5H]   | Player 2 |
| 730  |   [QS, TC, 7C, 5D, 2D]   |   [AC, KC, QC, JS, 6C]   | Player 2 |
| 731  |   [KS, TS, 4D, 3H, 2C]   |   [AD, 9S, 8S, 7S, 4H]   | Player 2 |
| 732  |  [[QD, QH], 9H, 5H, 4H]  |   [AD, KH, JC, 4D, 3S]   | Player 1 |
| 733  |   [AC, KC, 8D, 6D, 4D]   |  [[2D, 2C], KH, JD, 4C]  | Player 2 |
| 734  |  [[2C, 2D], AH, 9H, 3H]  |   [KS, TC, 9C, 7D, 6D]   | Player 1 |
| 735  |   [KD, 8C, 7C, 5C, 3H]   |  [[AS, AH], 5H, 4S, 2S]  | Player 2 |
| 736  |   [KD, JD, TH, 4H, 3H]   |   [AC, KH, TC, 5C, 3S]   | Player 2 |
| 737  |  [[7H, 7S], AH, QC, 6D]  |   [AS, JD, TD, 6H, 2D]   | Player 1 |
| 738  |   [JH, TC, 9S, 7H, 5D]   |   [AS, KH, JC, 7D, 5S]   | Player 2 |
| 739  |   [AD, TH, 8C, 6H, 2H]   |  [[6S, 6C], KD, QD, 9H]  | Player 2 |
